opsid,zplk_pk_seq,taxa_004,cruise_name,station,event_number,net_number,zoo_aliquot,zooplankton_count,conc_10m2,conc_100m3,vial_number,zoo_stage_000,zoo_stage_013,zoo_stage_020,zoo_stage_021,zoo_stage_022,zoo_stage_023,zoo_stage_024,zoo_stage_028,zoo_stage_029,zoo_stage_030,zoo_stage_050,zoo_stage_051,zoo_stage_054,zoo_stage_999,net_pk_seq,gear,gear_volume_filtered,sample_jar_count,sample_type,flowmeter_calibration_factor,flowmeter_revolutions,flag_region,flag_clogging,net_comment,event_pk_seq,operation,event_date,formated_event_date,latitude,longitude,region,region_nvl,plankton_stratum,groundfish_stratum,surface_temperature,surface_temperature_nvl,tow_profile,tow_protocol,tow_maximum_depth,bottom_depth_max_wire_out,bio_volume_zoo,bio_volume_zoo_1m2,bio_volume_zoo_100m3,bio_volume_large_conc_1m2,bio_volume_large_conc_100m3,total_zoo_count,total_large_zoo_count,total_large_zoo_length,large_zoo_mean_length,taxa_name
2011003HB,529057,218,HB1103,1,11,2,256,17,18998.47,1958.6,5,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Sagitta
2011003HB,529060,300,HB1103,1,11,2,256,41,45819.83,4723.69,5,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Thecosomata
2011003HB,529055,457,HB1103,1,11,2,256,8,8940.45,921.7,5,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Hyperiidea
2011003HB,529054,605,HB1103,1,11,2,256,8,8940.45,921.7,5,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Evadne
2011003HB,529049,700,HB1103,1,11,2,256,10,11175.57,1152.12,5,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Appendicularia
2011003HB,529050,1000,HB1103,1,11,2,256,42,46937.38,4838.91,5,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Brachyura
2011003HB,529059,1800,HB1103,1,11,2,256,2,2235.11,230.42,5,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Siphonophora
2011003HB,529053,2000,HB1103,1,11,2,256,9,10058.01,1036.91,5,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Euphausiacea
2011003HB,529048,2004,HB1103,1,11,2,256,1,1117.56,115.21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Thysanoessa longicaudata
2011003HB,529051,2350,HB1103,1,11,2,256,154,172103.74,17742.65,4,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Cnidaria
2011003HB,529052,4042,HB1103,1,11,2,256,1,1117.56,115.21,3,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Candacia
2011003HB,529061,101,HB1103,2,21,2,16,37,3620.29,179.22,3,5,0,0,1,9,9,13,0,0,0,0,0,0,0,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Calanus finmarchicus
2011003HB,529067,102,HB1103,2,21,2,16,72,7044.89,348.76,2,57,0,0,0,0,0,15,0,0,0,0,0,0,0,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Pseudocalanus minutus
2011003HB,529062,103,HB1103,2,21,2,16,23,2250.45,111.41,3,15,0,0,0,0,0,8,0,0,0,0,0,0,0,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Centropages typicus
2011003HB,529068,104,HB1103,2,21,2,16,3,293.54,14.53,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Temora longicornis
2011003HB,529064,105,HB1103,2,21,2,16,30,2935.37,145.32,3,0,0,0,0,0,22,8,0,0,0,0,0,0,0,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Metridia lucens
2011003HB,529066,135,HB1103,2,21,2,16,9,880.61,43.59,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Paracalanus parvus
2011003HB,529092,138,HB1103,2,21,2,16,112,10958.72,542.51,1,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Oithona
2011003HB,529074,142,HB1103,2,21,2,16,1,97.85,4.84,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Calanoida
2011003HB,529065,143,HB1103,2,21,2,16,27,2641.83,130.78,3,1,0,0,0,0,0,7,0,0,0,0,0,0,19,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Nannocalanus minor
2011003HB,529088,146,HB1103,2,21,2,16,3,293.54,14.53,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Mecynocera clausi
2011003HB,529069,148,HB1103,2,21,2,16,9,880.61,43.59,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Acartia danae
2011003HB,529063,157,HB1103,2,21,2,16,27,2641.83,130.78,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Clausocalanus arcuicornis
2011003HB,529095,176,HB1103,2,21,2,16,1,97.85,4.84,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Pleuromamma borealis
2011003HB,529084,180,HB1103,2,21,2,16,2,195.69,9.69,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Eucalanus
2011003HB,529075,200,HB1103,2,21,2,16,5,489.23,24.22,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Chaetognatha
2011003HB,529091,202,HB1103,2,21,2,16,1,97.85,4.84,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Sagitta elegans
2011003HB,529093,203,HB1103,2,21,2,16,6,587.07,29.06,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Sagitta enflata
2011003HB,529094,218,HB1103,2,21,2,16,30,2935.37,145.32,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Sagitta
2011003HB,529085,457,HB1103,2,21,2,16,11,1076.3,53.28,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Hyperiidea
2011003HB,529070,700,HB1103,2,21,2,16,2,195.69,9.69,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Appendicularia
2011003HB,529072,1000,HB1103,2,21,2,16,58,5675.05,280.94,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Brachyura
2011003HB,529083,1100,HB1103,2,21,2,16,3,293.54,14.53,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Gastropoda
2011003HB,529080,1500,HB1103,2,21,2,16,2,195.69,9.69,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Echinoderemata
2011003HB,529096,1800,HB1103,2,21,2,16,13,1271.99,62.97,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Siphonophora
2011003HB,529081,2000,HB1103,2,21,2,16,56,5479.36,271.26,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Euphausiacea
2011003HB,529071,2101,HB1103,2,21,2,16,2,195.69,9.69,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Balanidae
2011003HB,529076,2350,HB1103,2,21,2,16,7,684.92,33.91,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Cnidaria
2011003HB,529090,2500,HB1103,2,21,2,16,1,97.85,4.84,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Polychaeta
2011003HB,529086,3600,HB1103,2,21,2,16,1,97.85,4.84,4,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Ostracoda
2011003HB,529087,4007,HB1103,2,21,2,16,2,195.69,9.69,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Lucicutia
2011003HB,529098,4013,HB1103,2,21,2,16,1,97.85,4.84,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Pseudocalanidae
2011003HB,529101,4019,HB1103,2,21,2,16,1,97.85,4.84,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Undinula vulgaris
2011003HB,529079,4020,HB1103,2,21,2,16,4,391.38,19.38,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Centropages bradyi
2011003HB,529078,4042,HB1103,2,21,2,16,4,391.38,19.38,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Candacia
2011003HB,529097,4057,HB1103,2,21,2,16,5,489.23,24.22,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Pleuromamma
2011003HB,529073,4061,HB1103,2,21,2,16,28,2739.68,135.63,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Aetideidae
2011003HB,529082,4064,HB1103,2,21,2,16,12,1174.15,58.13,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Clausocalanus furcatus
2011003HB,529100,4066,HB1103,2,21,2,16,3,293.54,14.53,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Scolecithricidae
2011003HB,529099,4100,HB1103,2,21,2,16,7,684.92,33.91,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Rhincalanus
2011003HB,529089,4108,HB1103,2,21,2,16,8,782.77,38.75,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Neocalanus
2011003HB,529077,4129,HB1103,2,21,2,16,1,97.85,4.84,3,,,,,,,,,,,,,,,72513,6B3Z,330.316,1,Z,0.3141,3599,1,N,Manual Load Prgm.,69981,BON/CTD,52:00.0,6/4/2011 15:52,39.8317,-69.7733,SNE,SNE,61,,18,18,OBL,OT,202,1011,5,3.06,1.51,,,630,,,,Calocalanus
2011003HB,529102,101,HB1103,3,31,2,512,121,183207.51,19084.12,1,17,0,0,0,6,30,68,0,0,0,0,0,0,0,72515,6B3Z,324.626,1,Z,0.3141,3537,1,N,Manual Load Prgm.,69983,BON/CTD,07:00.0,6/4/2011 23:07,40.2683,-70.385,SNE,SNE,23,1100,14,14,OBL,OT,96,100,92,27.21,28.34,17.74,18.48,506,8,,,Calanus finmarchicus
2011003HB,529108,102,HB1103,3,31,2,512,115,174122.84,18137.8,2,103,0,0,0,0,0,11,0,0,0,0,0,0,1,72515,6B3Z,324.626,1,Z,0.3141,3537,1,N,Manual Load Prgm.,69983,BON/CTD,07:00.0,6/4/2011 23:07,40.2683,-70.385,SNE,SNE,23,1100,14,14,OBL,OT,96,100,92,27.21,28.34,17.74,18.48,506,8,,,Pseudocalanus minutus
2011003HB,529103,103,HB1103,3,31,2,512,10,15141.12,1577.2,3,5,0,0,0,0,1,4,0,0,0,0,0,0,0,72515,6B3Z,324.626,1,Z,0.3141,3537,1,N,Manual Load Prgm.,69983,BON/CTD,07:00.0,6/4/2011 23:07,40.2683,-70.385,SNE,SNE,23,1100,14,14,OBL,OT,96,100,92,27.21,28.34,17.74,18.48,506,8,,,Centropages typicus
2011003HB,529109,104,HB1103,3,31,2,512,42,63592.69,6624.24,3,36,0,0,0,0,0,5,0,0,0,0,0,0,1,72515,6B3Z,324.626,1,Z,0.3141,3537,1,N,Manual Load Prgm.,69983,BON/CTD,07:00.0,6/4/2011 23:07,40.2683,-70.385,SNE,SNE,23,1100,14,14,OBL,OT,96,100,92,27.21,28.34,17.74,18.48,506,8,,,Temora longicornis
2011003HB,529105,105,HB1103,3,31,2,512,2,3028.22,315.44,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,72515,6B3Z,324.626,1,Z,0.3141,3537,1,N,Manual Load Prgm.,69983,BON/CTD,07:00.0,6/4/2011 23:07,40.2683,-70.385,SNE,SNE,23,1100,14,14,OBL,OT,96,100,92,27.21,28.34,17.74,18.48,506,8,,,Metridia lucens
2011003HB,529111,107,HB1103,3,31,2,512,1,1514.11,157.72,3,,,,,,,,,,,,,,,72515,6B3Z,324.626,1,Z,0.3141,3537,1,N,Manual Load Prgm.,69983,BON/CTD,07:00.0,6/4/2011 23:07,40.2683,-70.385,SNE,SNE,23,1100,14,14,OBL,OT,96,100,92,27.21,28.34,17.74,18.48,506,8,,,Acartia longiremis
2011003HB,529107,135,HB1103,3,31,2,512,3,4542.33,473.16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,72515,6B3Z,324.626,1,Z,0.3141,3537,1,N,Manual Load Prgm.,69983,BON/CTD,07:00.0,6/4/2011 23:07,40.2683,-70.385,SNE,SNE,23,1100,14,14,OBL,OT,96,100,92,27.21,28.34,17.74,18.48,506,8,,,Paracalanus parvus
